@RELATION spotify

@ATTRIBUTE danceability REAL
@ATTRIBUTE energy REAL
@ATTRIBUTE key REAL
@ATTRIBUTE loudness REAL
@ATTRIBUTE mode REAL
@ATTRIBUTE speechiness REAL
@ATTRIBUTE acousticness REAL
@ATTRIBUTE instrumentalness REAL
@ATTRIBUTE liveness REAL
@ATTRIBUTE valence REAL
@ATTRIBUTE tempo REAL
@ATTRIBUTE duration_ms REAL
@ATTRIBUTE time_signature REAL
@ATTRIBUTE class {0,1}

@DATA
0.618,0.776,2,-6.41,1,0.0282,0.0384,0.0,0.127,0.842,133.986,300513,4,1
0.626,0.684,0,-8.096,1,0.0295,0.219,0.0,0.0908,0.718,120.375,186933,4,1
0.425,0.889,10,-5.7,1,0.0802,0.065,0.0,0.345,0.644,162.596,241293,4,1
0.496,0.797,2,-6.089,1,0.0375,0.0433,1.46e-05,0.155,0.376,175.974,296240,4,1
0.658,0.539,8,-12.051,1,0.026,0.156,0.0106,0.106,0.536,125.041,288707,4,1
0.566,0.333,7,-9.246,1,0.0267,0.685,1.34e-05,0.364,0.266,103.861,260004,4,1
0.517,0.217,0,-15.305,1,0.037,0.829,0.0,0.187,0.224,94.915,193421,4,1
0.746,0.787,4,-6.373,1,0.12,0.214,0.0,0.0669,0.607,95.005,206187,4,1
0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4,1
0.612,0.526,6,-6.365,1,0.0306,0.429,0.0,0.114,0.229,80.001,161216,4,1
0.575,0.33,7,-6.557,1,0.031,0.416,0.0,0.0872,0.277,95.801,217213,4,1
0.716,0.823,5,-5.313,0,0.0495,0.132,0.0,0.361,0.91,151.957,161747,4,1
0.671,0.712,2,-7.815,1,0.0476,0.429,0.0,0.103,0.462,113.805,248440,4,1
0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982,181613,4,1
0.497,0.624,11,-9.065,1,0.0825,0.261,2.31e-06,0.119,0.925,175.007,219107,4,1
0.694,0.443,1,-8.136,1,0.0456,0.00796,0.0,0.0731,0.642,120.019,206080,4,1
0.638,0.831,11,-6.812,0,0.081,0.0263,0.0,0.0491,0.388,127.975,218093,4,1
0.306,0.132,5,-19.31,1,0.0538,0.787,0.0,0.57,0.473,78.46,177787,4,1
0.337,0.331,5,-10.16,1,0.0385,0.657,0.0,0.085,0.35,103.203,182613,5,1
0.594,0.501,10,-6.459,0,0.0272,0.132,2.6e-05,0.0585,0.302,131.029,266173,4,1
0.47,0.261,9,-11.652,1,0.0414,0.939,1.45e-06,0.696,0.27,128.972,254120,4,1
0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,4,1
0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,160184,4,1
0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4,1
0.74,0.854,8,-2.209,1,0.0525,0.0783,0.000532,0.253,0.856,114.029,233413,4,0
0.847,0.814,11,-4.668,0,0.152,0.0825,0.000507,0.0948,0.711,140.057,172359,4,0
0.568,0.809,11,-3.869,0,0.0517,0.000253,3.33e-05,0.151,0.709,155.029,196170,4,0
0.6,0.713,6,-5.079,0,0.0592,0.0642,0.0,0.142,0.471,72.999,172107,4,0
0.769,0.926,6,-1.627,1,0.0788,0.0127,0.0,0.285,0.551,100.034,195813,4,0
0.634,0.928,1,-1.609,1,0.0514,0.00719,2.55e-06,0.0626,0.738,164.007,205373,4,0
0.545,0.803,1,-2.283,1,0.0526,0.0261,0.0,0.114,0.5,170.006,220920,4,0
0.781,0.814,8,-2.437,1,0.1,0.0735,1.92e-05,0.0565,0.546,124.028,201120,4,0
0.695,0.896,5,-1.24,1,0.0847,0.179,0.0,0.0626,0.508,119.959,181760,4,0
0.599,0.869,5,-5.174,0,0.0618,0.000707,0.0,0.0911,0.453,132.889,193260,4,0
0.764,0.802,0,-4.217,1,0.0351,0.102,0.0,0.189,0.323,132.02,194080,4,0
0.723,0.725,6,-3.815,1,0.0551,0.23,0.0,0.0683,0.731,125.048,189933,4,0
0.584,0.836,0,-4.925,1,0.079,0.0558,0.0,0.0663,0.484,104.973,202204,4,0
0.688,0.909,8,-1.992,1,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,210573,4,0
0.738,0.89,2,-2.275,0,0.0748,0.0895,1.89e-06,0.213,0.75,114.942,214253,4,0
0.764,0.886,1,-3.067,1,0.177,0.0109,2.21e-05,0.325,0.497,102.012,191462,4,0
0.82,0.852,11,-2.567,0,0.166,0.488,5.94e-06,0.0907,0.82,109.036,221573,4,0
0.641,0.489,0,-8.668,0,0.11,0.0509,0.0,0.071,0.206,142.977,215188,4,0
0.536,0.296,5,-7.451,1,0.0346,0.892,0.0,0.0873,0.151,122.907,240907,3,0
0.644,0.867,11,-4.18,0,0.0383,0.001,0.0,0.105,0.687,124.997,199919,4,0
0.804,0.652,8,-6.282,1,0.0898,0.0267,0.000782,0.118,0.854,150.076,200690,4,0
0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044,198053,4,0
0.727,0.879,9,-1.167,1,0.129,0.124,1.17e-05,0.244,0.671,146.959,238144,4,0
0.605,0.805,6,-3.212,1,0.0641,0.313,0.0,0.659,0.738,148.298,191696,4,0
0.561,0.758,5,-3.87,0,0.0478,0.000831,3.08e-06,0.15,0.178,149.944,215587,4,0
0.841,0.831,10,-3.675,0,0.0526,0.0617,0.0,0.101,0.762,124.965,200680,4,0
0.606,0.896,1,-3.098,1,0.11,0.0861,0.0,0.235,0.64,164.939,214853,4,0
0.783,0.872,11,-2.416,1,0.174,0.0546,0.0391,0.029,0.708,124.993,213560,4,0
0.52,0.915,2,-2.862,1,0.103,0.0618,0.000946,0.0856,0.5,90.069,174933,4,0
0.781,0.757,1,-4.268,1,0.0547,0.00151,0.0,0.19,0.666,96.009,177893,4,0
0.956,0.717,1,-5.105,1,0.205,0.0893,0.0,0.0703,0.688,127.971,174440,4,0
0.852,0.759,9,-4.45,1,0.0495,0.353,1.86e-06,0.152,0.911,131.946,139213,4,0
0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,4,0
0.55,0.932,4,-2.75,0,0.0855,0.0183,0.0,0.344,0.45,170.012,191947,4,0
0.707,0.838,9,-2.983,0,0.117,0.0585,0.0,0.095,0.832,128.007,176547,4,0
